"filename", "language", "TypeScript", "JSON", "JSON with Comments", "SQL", "Markdown", "JavaScript", "Log", "XML", "CSS", "vue", "HTML", "comment", "blank", "total"
"/Users/downtownit/development/branas.io/ccca10.1/backend/catalog/README.md", "Markdown", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"/Users/downtownit/development/branas.io/ccca10.1/backend/catalog/create.sql", "SQL", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 7, 43
"/Users/downtownit/development/branas.io/ccca10.1/backend/catalog/drop.sql", "SQL", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 0, 5
"/Users/downtownit/development/branas.io/ccca10.1/backend/catalog/jest.config.js", "JavaScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 0, 5
"/Users/downtownit/development/branas.io/ccca10.1/backend/catalog/package-lock.json", "JSON", 0, 7260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7261
"/Users/downtownit/development/branas.io/ccca10.1/backend/catalog/package.json", "JSON", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"/Users/downtownit/development/branas.io/ccca10.1/backend/catalog/src/application/repository/ProductRepository.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/downtownit/development/branas.io/ccca10.1/backend/catalog/src/application/usecase/GetProduct.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"/Users/downtownit/development/branas.io/ccca10.1/backend/catalog/src/application/usecase/GetProducts.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"/Users/downtownit/development/branas.io/ccca10.1/backend/catalog/src/domain/entity/Product.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/downtownit/development/branas.io/ccca10.1/backend/catalog/src/infra/database/Connection.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/downtownit/development/branas.io/ccca10.1/backend/catalog/src/infra/database/PgPromiseAdapter.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"/Users/downtownit/development/branas.io/ccca10.1/backend/catalog/src/infra/http/AxiosAdapter.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"/Users/downtownit/development/branas.io/ccca10.1/backend/catalog/src/infra/http/ExpressApadter.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"/Users/downtownit/development/branas.io/ccca10.1/backend/catalog/src/infra/http/HapiAdapter.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 36
"/Users/downtownit/development/branas.io/ccca10.1/backend/catalog/src/infra/http/HttpClient.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/downtownit/development/branas.io/ccca10.1/backend/catalog/src/infra/http/HttpController.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
